name;postal_code;population;LONGITUD;LATITUDE;place
Aldeia Linha 10;110010;52;-65.362763;-1.0548049;village
Aldeia Lage  Velho;110010;94;-64.993268;-1.0580335;village
Terceira Linha Do Iata;110010;130;-65.34300656;-1.058386771;farm
Segunda Linha Do Iata;110010;177;-65.36089405;-1.058495442;farm
Primeira Linha  Do Iata;110010;247;-65.37795474;-1.058595112;farm
Nucleo Do Iata;110010;348;-65.38237477;-1.058707772;hamlet
Aldeia Lages;110010;184;-65.01588377;-1.062370225;village
Ramal Santa Luzia;110010;42;-65.07862173;-1.067906552;farm
Serra Verde;110010;18;-65.12336996;-1.070754335;farm
Nona Linha Do Iata;110010;23;-65.13177959;-1.0707732;farm
Ramal Bom Sossego;110010;54;-65.16906003;-1.0709751;farm
Ramal Do João Do Bicho;110010;16;-64.89071779;-1.071060339;farm
Setima Linha Do Iata;110010;90;-65.24479111;-1.0710664;farm
Oitava Linha Do Iata;110010;78;-65.20703843;-1.071121885;farm
Ramal Do Macaco;110010;10;-64.90573106;-1.071751552;farm
Ramal Do Cearense;110010;9;-64.94286985;-1.073359558;farm
Planalto;110010;2073;-65.31944076;-1.076190221;suburb
Jardim Das Esmeraldas;110010;4367;-65.30483395;-1.076341775;suburb
Prospero;110010;2751;-65.30963385;-1.076626002;suburb
Caetano;110010;1806;-65.32751128;-1.076766553;suburb
Liberdade;110010;2516;-65.31590368;-1.076897774;suburb
Nossa Senhora De Fatima;110010;2322;-65.31244992;-1.077607228;suburb
10 De Abril;110010;2527;-65.31944931;-1.0776541;suburb
Tamandaré;110010;3502;-65.33807415;-1.077711223;suburb
Serraria;110010;2650;-65.32888314;-1.077910882;suburb
Santa Luzia;110010;3899;-65.31981191;-1.078421336;suburb
Cristo Rei;110010;898;-65.34764737;-1.078457337;suburb
Santo Antonio;110010;1332;-65.32694793;-1.078764225;suburb
Sao Jose;110010;2509;-65.33395889;-1.078811665;suburb
Centro;110010;1316;-65.34322743;-1.078929995;suburb
Triangulo;110010;1228;-65.34094447;-1.0794468;suburb
Aldeia Cajueiro;110010;37;-65.298442;-1.0837977;village
Aldeia Capoeirinha;110010;60;-65.268999;-1.0875552;village
Aldeia Pitop;110010;24;-65.236668;-1.0921742;village
Aldeia Tanajura;110010;194;-65.222337;-1.0992692;village
Aldeia Graças A Deus;110010;30;-65.054386;-1.1064869;village
Aldeia São Luiz;110010;55;-64.081475;-1.1087254;village
Aldeia Quatorze;110010;9;-65.245658;-1.1103151;village
Aldeia  Santo Andre;110010;286;-65.016879;-1.1161303;village
Aldeia Rio Negro Ocaia;110010;518;-64.835769;-1.1184553;village
Aldeia Deolinda;110010;92;-65.317998;-1.1206262;village
Aldeia Bom Futuro;110010;54;-64.971136;-1.1211478;village
Aldeia Sotério;110010;317;-65.133003;-1.1616784;village
Aldeia Sagarana;110010;211;-64.992009;-1.1911945;village
Aldeia Ricardo Franco;110010;322;-64.8286;-1.2017065;village
Aldeia Baia Da Coca;110010;103;-64.769432;-1.2071771;village
Aldeia Baia Das Onças;110010;74;-64.707555;-1.2079705;village
Sao Francisco De Calama;110020;680;-62.87524434;-8.027746442;suburb
Nazare (P.D.S. Nazaré E Boa Vitória - Ro0143000);110020;466;-63.31997946;-8.1661882;allotments
Demarcacao (Rio Machado);110020;183;-62.78028238;-8.1683303;village
Sao Carlos - Rio Madeira;110020;1880;-63.49845441;-8.435965008;hamlet
Cujubim Grande;110020;224;-63.73042522;-8.583616443;farm
Agrovila (P.A. Aliança - Ro0100000);110020;226;-63.54052285;-8.607903881;allotments
Alianca - Rio Madeira (P.A. Aliança - Ro0100000);110020;48;-62.78028238;-8.619170227;allotments
Niteroi (Rio Madeira);110020;67;-63.92335104;-8.668820888;farm
